Window size,Block size,Cardinality,Avg preprocessing,Avg query processing,Preprocessing: Sketch Building time
10,5,5,0.066095400000032,0.007407599999972092,0.16620000000067137
100,5,5,0.059758600000002104,0.029953599999977598,0.26080000000128223
50,10,5,0.05336059999999421,0.010650400000002946,0.15780000000020777
1000,5,5,0.07788119999997889,0.2579810000000172,0.4787999999997794
100,10,5,0.05941200000001601,0.01707319999996315,0.23369999999900415
100,50,5,0.05437839999994054,0.0072238000000552915,0.20659999999850243
200,10,5,0.05856920000001509,0.028367400000007592,0.22750000000026915
200,25,5,0.05348459999998312,0.01352720000005192,0.15129999999885513
500,10,5,0.06371919999999776,0.06596119999999672,0.26919999999996946
500,25,5,0.061042200000073876,0.02922899999997952,0.2195000000000391
1000,25,5,0.0671946000000041,0.054939599999986655,0.29879999999948836